Issue,Vol.,Title,Collecting,Release date,,,,,,,,,
15,13,Marvels,Marvels #0-4,11 Jul 2012,http://marvel.com/comics/issue/10279/marvels_1994,http://marvel.com/comics/issue/10280/marvels_1994_1,http://marvel.com/comics/issue/10281/marvels_1994_2,http://marvel.com/comics/issue/10282/marvels_1994_3,http://marvel.com/comics/issue/10283/marvels_1994_4,,,,
16,34,Avengers: Disassembled,Avengers #500-503 & Avengers Finale,25 Jul 2012,http://marvel.com/comics/issue/532/avengers_1998_500,http://marvel.com/comics/issue/767/avengers_1998_501,http://marvel.com/comics/issue/845/avengers_1998_502,http://marvel.com/comics/issue/923/avengers_1998_503,http://marvel.com/comics/issue/90/avengers_finale_2004_1,,,,
17,23,New X-Men: E is for Extinction,New X-Men #114-117,8 Aug 2012,http://marvel.com/comics/issue/14933/new_x-men_2001_114,http://marvel.com/comics/issue/14934/new_x-men_2001_115,http://marvel.com/comics/issue/14935/new_x-men_2001_116,http://marvel.com/comics/issue/14936/new_x-men_2001_117,,,,,
18,33,Secret War,Secret War #1-5,22 Aug 2012,http://marvel.com/comics/issue/104/secret_war_2004_1,http://marvel.com/comics/issue/668/secret_war_2004_2,http://marvel.com/comics/issue/773/secret_war_2004_3,http://marvel.com/comics/issue/1708/secret_war_2004_4,http://marvel.com/comics/issue/2594/secret_war_2004_5,,,,
19,15,Avengers: Forever (Part 2),Avengers Forever #7-12,5 Sep 2012,http://marvel.com/comics/issue/12410/avengers_forever_1998_7,http://marvel.com/comics/issue/12411/avengers_forever_1998_8,http://marvel.com/comics/issue/12412/avengers_forever_1998_9,http://marvel.com/comics/issue/12402/avengers_forever_1998_10,http://marvel.com/comics/issue/12403/avengers_forever_1998_11,http://marvel.com/comics/issue/12404/avengers_forever_1998_12,,,
20,8,Daredevil: Born Again,Daredevil #227-233,19 Sep 2012,http://marvel.com/comics/issue/8215/daredevil_1963_227,http://marvel.com/comics/issue/8216/daredevil_1963_228,http://marvel.com/comics/issue/8217/daredevil_1963_229,http://marvel.com/comics/issue/8219/daredevil_1963_230,http://marvel.com/comics/issue/8220/daredevil_1963_231,http://marvel.com/comics/issue/8221/daredevil_1963_232,http://marvel.com/comics/issue/8222/daredevil_1963_233,,
21,35,She-Hulk: Single Green Female,She-Hulk #1-6,3 Oct 2012,http://marvel.com/comics/issue/409/she-hulk_2004_1,http://marvel.com/comics/issue/472/she-hulk_2004_2,http://marvel.com/comics/issue/636/she-hulk_2004_3,http://marvel.com/comics/issue/713/she-hulk_2004_4,http://marvel.com/comics/issue/551/she-hulk_2004_5,http://marvel.com/comics/issue/520/she-hulk_2004_6,,,
22,48,Marvel Zombies,Marvel Zombies #1-5,17 Oct 2012,http://marvel.com/comics/issue/3220/marvel_zombies_2005_1,http://marvel.com/comics/issue/3430/marvel_zombies_2005_2,http://marvel.com/comics/issue/3549/marvel_zombies_2005_3,http://marvel.com/comics/issue/3956/marvel_zombies_2005_4,http://marvel.com/comics/issue/4082/marvel_zombies_2005_5,,,,
23,45,The Incredible Hulk: Planet Hulk (Part 1),Incredible Hulk (Vol 2) #92-99,31 Oct 2012,http://marvel.com/comics/issue/3530/incredible_hulk_1999_92,http://marvel.com/comics/issue/3955/incredible_hulk_1999_93,http://marvel.com/comics/issue/4081/incredible_hulk_1999_94,http://marvel.com/comics/issue/4195/incredible_hulk_1999_95,http://marvel.com/comics/issue/4446/incredible_hulk_1999_96,http://marvel.com/comics/issue/4764/incredible_hulk_1999_97,http://marvel.com/comics/issue/5055/incredible_hulk_1999_98,http://marvel.com/comics/issue/5207/incredible_hulk_1999_99,
24,18,Punisher: Welcome Back Frank (Part 1),The Punisher (Vol 3) #1-6,14 Nov 2012,http://marvel.com/comics/issue/18977/punisher_2000_1,http://marvel.com/comics/issue/18978/punisher_2000_2,http://marvel.com/comics/issue/18979/punisher_2000_3,http://marvel.com/comics/issue/18980/punisher_2000_4,http://marvel.com/comics/issue/18981/punisher_2000_5,http://marvel.com/comics/issue/18982/punisher_2000_6,,,
